name,log2FC,pvalue,Status
peak73716,-1.145072708,0.067780406,Stable
peak20344,-1.144196763,0.010769194,Loss
peak24367,-1.144185132,0.065552747,Stable
peak37707,-1.143849707,0.024391137,Loss
peak70566,-1.143627764,0.092160575,Stable
peak50805,-1.142304793,0.047384058,Loss
peak71185,-1.142270588,0.048315729,Loss
peak17641,-1.142255144,0.09737761,Stable
peak26115,-1.14225317,0.056672888,Stable
peak25998,-1.142214064,0.103017824,Stable
peak46380,-1.142141192,0.037224617,Loss
peak17799,-1.141978006,0.051765763,Stable
peak46956,-1.141506435,0.096432296,Stable
peak14540,-1.141368127,0.115884336,Stable
peak61608,-1.141265705,0.049300799,Loss
peak27189,-1.141241491,0.058856504,Stable
peak70503,-1.14092996,0.010017948,Loss
peak30742,-1.140919231,0.055470669,Stable
peak11186,-1.140570256,0.037463528,Loss
peak14843,-1.14046652,0.085562078,Stable
peak5247,-1.140352065,0.033665378,Loss
peak40119,-1.140195749,0.07069555,Stable
peak50678,-1.139478626,0.01208127,Loss
peak8006,-1.139340387,0.024546897,Loss
peak57699,-1.139328548,0.033773616,Loss
peak74478,-1.139111308,0.074789646,Stable
peak7282,-1.139090668,0.043838615,Loss
peak50005,-1.138821792,0.007022981,Loss
peak22696,-1.138606873,0.072809683,Stable
peak36723,-1.138363699,0.049726126,Loss
peak52562,-1.138325345,0.017196321,Loss
peak59658,-1.138222951,0.011803275,Loss
peak60706,-1.138068108,0.04313838,Loss
peak15948,-1.137342625,0.032727676,Loss
peak49663,-1.137227145,0.020472036,Loss
peak1898,-1.136954824,0.012391639,Loss
peak68298,-1.13563436,0.091275261,Stable
peak1534,-1.135312904,0.020800545,Loss
peak34876,-1.135133271,0.060699712,Stable
peak23942,-1.135086919,0.102519781,Stable
peak11409,-1.134969626,0.123908018,Stable
peak19882,-1.134668293,0.159271478,Stable
peak33071,-1.134322784,0.05433628,Stable
peak48868,-1.13374,0.062643809,Stable
